keyword,target_url,city,priority,page_type,target_indexable
"live in maid in sector 60",/gurgaon/sector-60/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 60",/gurgaon/sector-60/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 60",/gurgaon/sector-60/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 60",/gurgaon/sector-60/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 60",/gurgaon/sector-60/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 60",/gurgaon/sector-60/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 60",/gurgaon/sector-60/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sector 60",/gurgaon/sector-60/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 60",/gurgaon/sector-60/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 60",/gurgaon/sector-60/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 60",/gurgaon/sector-60/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 60",/gurgaon/sector-60/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 60",/gurgaon/sector-60/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sector 60",/gurgaon/sector-60/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sector 60",/gurgaon/sector-60/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 61 gurgaon",/gurgaon/sector-61,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 61 gurugram",/gurgaon/sector-61,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"maid agency in south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"maid provider in south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"house maid in south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"housemaid in south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"professional maid service in south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"best maid service in south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"verified maid service in south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"reliable maid service in south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"maid near me south city 1",/gurgaon/south-city-1,gurgaon,very-high,"locality hub",yes
"full time maid in south city 1",/gurgaon/south-city-1/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in south city 1",/gurgaon/south-city-1/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in south city 1",/gurgaon/south-city-1/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in south city 1",/gurgaon/south-city-1/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in south city 1",/gurgaon/south-city-1/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in south city 1",/gurgaon/south-city-1/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in south city 1",/gurgaon/south-city-1/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in south city 1",/gurgaon/south-city-1/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in south city 1",/gurgaon/south-city-1/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in south city 1",/gurgaon/south-city-1/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in south city 1",/gurgaon/south-city-1/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in south city 1",/gurgaon/south-city-1/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in south city 1",/gurgaon/south-city-1/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in south city 1",/gurgaon/south-city-1/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in south city 1",/gurgaon/south-city-1/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in south city 1",/gurgaon/south-city-1/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"maid agency in south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"maid provider in south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"house maid in south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"housemaid in south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"professional maid service in south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"best maid service in south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"verified maid service in south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"reliable maid service in south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"maid near me south city 2",/gurgaon/south-city-2,gurgaon,very-high,"locality hub",yes
"full time maid in south city 2",/gurgaon/south-city-2/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in south city 2",/gurgaon/south-city-2/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in south city 2",/gurgaon/south-city-2/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in south city 2",/gurgaon/south-city-2/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in south city 2",/gurgaon/south-city-2/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in south city 2",/gurgaon/south-city-2/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in south city 2",/gurgaon/south-city-2/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in south city 2",/gurgaon/south-city-2/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in south city 2",/gurgaon/south-city-2/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in south city 2",/gurgaon/south-city-2/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in south city 2",/gurgaon/south-city-2/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in south city 2",/gurgaon/south-city-2/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in south city 2",/gurgaon/south-city-2/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in south city 2",/gurgaon/south-city-2/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in south city 2",/gurgaon/south-city-2/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in south city 2",/gurgaon/south-city-2/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"maid agency in sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"maid provider in sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"house maid in sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"housemaid in sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"professional maid service in sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"best maid service in sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"verified maid service in sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"reliable maid service in sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"maid near me sohna road",/gurgaon/sohna-road,gurgaon,very-high,"locality hub",yes
"full time maid in sohna road",/gurgaon/sohna-road/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sohna road",/gurgaon/sohna-road/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sohna road",/gurgaon/sohna-road/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sohna road",/gurgaon/sohna-road/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sohna road",/gurgaon/sohna-road/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sohna road",/gurgaon/sohna-road/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sohna road",/gurgaon/sohna-road/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sohna road",/gurgaon/sohna-road/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sohna road",/gurgaon/sohna-road/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sohna road",/gurgaon/sohna-road/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sohna road",/gurgaon/sohna-road/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sohna road",/gurgaon/sohna-road/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sohna road",/gurgaon/sohna-road/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sohna road",/gurgaon/sohna-road/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sohna road",/gurgaon/sohna-road/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sohna road",/gurgaon/sohna-road/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid provider in sector 47",/gurgaon/sector-47,gurgaon,very-high,"locality hub",yes
"house maid in sector 47",/gurgaon/sector-47,gurgaon,very-high,"locality hub",yes
"housemaid in sector 47",/gurgaon/sector-47,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 47",/gurgaon/sector-47,gurgaon,very-high,"locality hub",yes
"best maid service in sector 47",/gurgaon/sector-47,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 47",/gurgaon/sector-47,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 47",/gurgaon/sector-47,gurgaon,very-high,"locality hub",yes
"maid near me sector 47",/gurgaon/sector-47,gurgaon,very-high,"locality hub",yes
"maid service in sector 47 gurgaon",/gurgaon/sector-47,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 47 gurugram",/gurgaon/sector-47,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 47",/gurgaon/sector-47/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 47",/gurgaon/sector-47/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 47",/gurgaon/sector-47/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 47",/gurgaon/sector-47/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 47",/gurgaon/sector-47/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 47",/gurgaon/sector-47/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 47",/gurgaon/sector-47/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 47",/gurgaon/sector-47/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 47",/gurgaon/sector-47/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 47",/gurgaon/sector-47/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 47",/gurgaon/sector-47/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 47",/gurgaon/sector-47/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 47",/gurgaon/sector-47/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"house help in sector 47",/gurgaon/sector-47/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"maid agency in sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"maid provider in sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"house maid in sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"housemaid in sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"best maid service in sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"maid near me sector 49",/gurgaon/sector-49,gurgaon,very-high,"locality hub",yes
"maid service in sector 49 gurgaon",/gurgaon/sector-49,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 49 gurugram",/gurgaon/sector-49,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 49",/gurgaon/sector-49/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 49",/gurgaon/sector-49/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 49",/gurgaon/sector-49/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 49",/gurgaon/sector-49/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 49",/gurgaon/sector-49/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 49",/gurgaon/sector-49/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 49",/gurgaon/sector-49/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 49",/gurgaon/sector-49/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sector 49",/gurgaon/sector-49/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 49",/gurgaon/sector-49/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 49",/gurgaon/sector-49/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 49",/gurgaon/sector-49/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 49",/gurgaon/sector-49/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 49",/gurgaon/sector-49/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sector 49",/gurgaon/sector-49/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sector 49",/gurgaon/sector-49/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 50 gurgaon",/gurgaon/sector-50,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 50 gurugram",/gurgaon/sector-50,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 51 gurgaon",/gurgaon/sector-51,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 51 gurugram",/gurgaon/sector-51,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"maid agency in sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"maid provider in sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"house maid in sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"housemaid in sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"best maid service in sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"maid near me sector 65",/gurgaon/sector-65,gurgaon,very-high,"locality hub",yes
"maid service in sector 65 gurgaon",/gurgaon/sector-65,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 65 gurugram",/gurgaon/sector-65,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 65",/gurgaon/sector-65/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 65",/gurgaon/sector-65/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 65",/gurgaon/sector-65/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 65",/gurgaon/sector-65/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 65",/gurgaon/sector-65/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 65",/gurgaon/sector-65/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 65",/gurgaon/sector-65/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 65",/gurgaon/sector-65/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sector 65",/gurgaon/sector-65/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 65",/gurgaon/sector-65/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 65",/gurgaon/sector-65/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 65",/gurgaon/sector-65/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 65",/gurgaon/sector-65/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 65",/gurgaon/sector-65/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sector 65",/gurgaon/sector-65/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sector 65",/gurgaon/sector-65/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"maid agency in sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"maid provider in sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"house maid in sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"housemaid in sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"best maid service in sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"maid near me sector 66",/gurgaon/sector-66,gurgaon,very-high,"locality hub",yes
"maid service in sector 66 gurgaon",/gurgaon/sector-66,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 66 gurugram",/gurgaon/sector-66,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 66",/gurgaon/sector-66/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 66",/gurgaon/sector-66/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 66",/gurgaon/sector-66/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 66",/gurgaon/sector-66/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 66",/gurgaon/sector-66/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 66",/gurgaon/sector-66/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 66",/gurgaon/sector-66/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 66",/gurgaon/sector-66/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sector 66",/gurgaon/sector-66/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 66",/gurgaon/sector-66/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 66",/gurgaon/sector-66/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 66",/gurgaon/sector-66/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 66",/gurgaon/sector-66/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 66",/gurgaon/sector-66/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sector 66",/gurgaon/sector-66/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sector 66",/gurgaon/sector-66/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"maid agency in sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"maid provider in sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"house maid in sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"housemaid in sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"best maid service in sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"maid near me sector 67",/gurgaon/sector-67,gurgaon,very-high,"locality hub",yes
"maid service in sector 67 gurgaon",/gurgaon/sector-67,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 67 gurugram",/gurgaon/sector-67,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 67",/gurgaon/sector-67/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 67",/gurgaon/sector-67/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 67",/gurgaon/sector-67/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 67",/gurgaon/sector-67/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 67",/gurgaon/sector-67/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 67",/gurgaon/sector-67/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 67",/gurgaon/sector-67/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 67",/gurgaon/sector-67/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sector 67",/gurgaon/sector-67/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 67",/gurgaon/sector-67/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 67",/gurgaon/sector-67/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 67",/gurgaon/sector-67/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 67",/gurgaon/sector-67/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 67",/gurgaon/sector-67/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sector 67",/gurgaon/sector-67/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sector 67",/gurgaon/sector-67/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"maid agency in sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"maid provider in sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"house maid in sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"housemaid in sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"best maid service in sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"maid near me sector 68",/gurgaon/sector-68,gurgaon,very-high,"locality hub",yes
"maid service in sector 68 gurgaon",/gurgaon/sector-68,gurgaon,very-high,"locality hub (alt name, same page)",yes
"maid service in sector 68 gurugram",/gurgaon/sector-68,gurgaon,very-high,"locality hub (alt name, same page)",yes
"full time maid in sector 68",/gurgaon/sector-68/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"live in maid in sector 68",/gurgaon/sector-68/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"24 hours maid in sector 68",/gurgaon/sector-68/full-time-maid,gurgaon,very-high,"service x locality (full-time-maid)",yes
"part time maid in sector 68",/gurgaon/sector-68/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"hourly maid in sector 68",/gurgaon/sector-68/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"morning maid in sector 68",/gurgaon/sector-68/part-time-maid,gurgaon,very-high,"service x locality (part-time-maid)",yes
"cook service in sector 68",/gurgaon/sector-68/cook,gurgaon,very-high,"service x locality (cook)",yes
"home cook in sector 68",/gurgaon/sector-68/cook,gurgaon,very-high,"service x locality (cook)",yes
"cook in sector 68",/gurgaon/sector-68/cook,gurgaon,very-high,"service x locality (cook)",yes
"babysitter in sector 68",/gurgaon/sector-68/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"nanny service in sector 68",/gurgaon/sector-68/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"japa maid in sector 68",/gurgaon/sector-68/babysitter-nanny,gurgaon,very-high,"service x locality (babysitter-nanny)",yes
"elder care maid in sector 68",/gurgaon/sector-68/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"caretaker for elderly in sector 68",/gurgaon/sector-68/elder-care,gurgaon,very-high,"service x locality (elder-care)",yes
"domestic help in sector 68",/gurgaon/sector-68/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"house help in sector 68",/gurgaon/sector-68/domestic-help,gurgaon,very-high,"service x locality (domestic-help)",yes
"maid service in sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
"maid agency in sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
"maid provider in sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
"house maid in sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
"housemaid in sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
"professional maid service in sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
"best maid service in sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
"verified maid service in sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
"reliable maid service in sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
"maid near me sector 69",/gurgaon/sector-69,gurgaon,very-high,"locality hub",yes
